0001	PrepP	above	sopra	över	über	nad
0002	CN	account	conto	konto	das Konto	račun
0003	CNH	actor	attore	skådespelare	der Schauspieler	igralec
0004	CNH	actress	attrice	skådespelerska	die Schauspielerin	igralka
0005	CN	adapted computer	computer adattato	anpassad dator	angepasster Computer	prilagojen računalnik
0006	CN	adapted game	gioco adattato	anpassat spel	angepasstes Spiel	prilagojena igra
0007	V2	address	indirizzare	adressera	Adresse 	naslov
0008	CN	address	indirizzo	adress	Anschrift	nagovor
0009	VP	adjust bed down	abbassare il letto	sänka sängen	das Bett anpassen	namestiti posteljo navzdol
0010	AP	admirable	ammirabile	berömvärd	erstaunlich	čudovit
0011	CNH	adult	adulto	vuxen	Erwachsener	odrasla oseba
0011	CNH	baby	bambino	barn	Baby	otrok
0012	V2	advice	consigliare	råda	der Rat	nasvet
0013	Adv	aerial	aerea	via luften	luftig	zračen, antena
0014	CNT	afternoon	pomeriggio	eftermiddag	der Nachmittag	popoldne
0015	CN	after shave	dopo barba	rakvatten	nach der Rasur	po britju
0016	CNP	airport	aereoporto	flygplats	der Flughafen	letališče
0017	Interj	all done	tutto fatto	klart	alle getan	končano
0018	AP	allergic	allergico	allergisk	allergisch	alergičen
0019	CNP	alley	viale	gränd	die Gasse,die Allee,Weg	aleja
0020	AdV	always	sempre	alltid	immer,ständig	vedno
0021	CN	ambulance	ambulanza	ambulans	die Ambulanz	reševalno vozilo
0022	CNM	analcolic beer	birra analcoolica	alkoholfri öl	alkoholfreies Bier	alkoholno pivo
0023	CNM	ananas juice	succo d'ananas	ananasjuice	Ananas Saft	ananasov sok
0024	Conj	and	e	och	und	in
0025	NPH	somebody	qualsiasi persona	någon person	irgendwelche Leute	vsi ljudje
0026	CNP	apartment	appartamento	lägenhet	die Wohnung	stanovanje
0027	CNM	appetite	appetito	aptit	der Appetit	apetit
0028	CNM	apple juice	succo di mela	äppeljuice	der Apfelsaft	jabolčni sok
0029	CN	apple	mela	äpple	der Apfel	jabolko
0030	CN	appointment	appuntamento	mötestid	geplanter Termin	sestanek (dogovorjen)
0031	CN	apricot	albicocca	aprikos	die Aprikose,die Marille	marelica
0032	Month	April	Aprile	april	der April	april
0033	NP	April Fool's Day	pesce d'aprile	första april	Erster April	Prvoaprilski dan
0034	QCl	are you in a hurry?	hai fretta	har du bråttom	bist du in Eile	ali se vam mudi?
0035	CN	arm	braccio	arm	der Arm	roka
0036	PrepP	around	intorno	omkring	um	okoli, približno
0037	CNM	art	arte	konst	die Kunst	umetnost
0038	Imp	ask me questions	fammi delle domande	fråga mig	stell mir Fragen	postavite vprašanje
0039	Imp	ask me yes/no question	fammi una domanda chiusa	ställ ja- eller nejfrågor	frag mich ja/nein Fragen	tip vprašanja 'da-ne'
0040	AP	attractive	attraente	attraktiv	attraktiv	privlačen
0041	Month	August	Agosto	augusti	der August	avgust
0042	CNH	author	scrittore	författare	der Autor	avtor
0043	AdvP	away	via da	iväg	weg	daleč
0044	AP	awful	orribile	hemsk	furchbar	grozen
0045	AP	awful	terribile	hemsk	schrecklich	strašen
0046	CN	back	dorso	rygg	zurück*	nazaj
0047	AdvP	back	indietro	bakåt	wieder	zadaj
0048	CN	back	schiena	rygg	retour	hrbet
0049	AP	bad	cattivo	otäck	schlecht	slab
0050	CNT	bad day	giornata storta	olycksdag	schlechter Tag	slab dan
0051	Adv	badly	malissimo	dålig	schlecht	slabo
0052	CNH	bad man	uomo cattivo	elak man	schlecher Mann	slab človek
0053	AP	bad	pessimo	dålig	böse,schlimm	kvaren
0054	CN	bag	sacchetto	påse	die Tasche	torba
0055	CNH	baker	fornaio	bagare	der Bäker	pek
0056	CNM	baking powder	lievito in polvere	bakpulver	das Backpulver	pecilni prašek
0057	CNP	ball bath	piscina palline	badboll	Ballbad	kopalna kroglica (bombica)
0058	CN	ball of wool	gomitolo di lana	garnnystan	Woolknäuel	volnena krogla
0059	CN	ball	palla	boll	der Ball	žoga
0060	CN	banana	banana	banan	die Banane	banana
0061	CN	bandage	benda	bandage	die Bandage,der Verband	povoj
0062	CN	band	banda	musikband 	die Band	skupina
0063	CNH	band	gruppo musicale	orkester	die Gruppe	trak
0064	CNP	bank	banca	bank	die Bank	banka
0065	CNH	bank teller	banchiere	bankkassör	Bankangestellte	bankomat*
0066	CNP	basin	vasca da bagno	handfat	das Becken	umivalnik
0067	CNP	basin	vasca	kärl	die Schüssel	bazen
0068	CN	bath cap	cuffia da bagno	badmössa	Badkappe	kopalna kapa
0069	CNM	bathing		balneazione	bada utomhus	das Baden	kopanje
0070	CN	bathing suit	costume da bagno	baddräkt	der Badeanzug	kopalke
0071	CNP	bathroom	bagno	badrum	das Badezimmer	kopalnica
0072	CN	battery	pila	batteri	die Batterie	baterija
0073	CN	beach bag	borsa da spiaggia	strandväska	Strandtasche	torba za na plažo
0074	CNP	beach	spiaggia	strand	der Strand	plaža
0075	CN	beach towel	asciugamano da spiaggia	strandhandduk	Badetuch	brisača za na plažo
0076	AP	beautiful	bello	vacker	schön	lep
0077	CN	beautiful clothe	vestito bello	vacker klänning	schön kleiden	lepa obleka, tkanina
0078	CN	beautiful show	bello spettacolo	vacker föreställning	schöne Show	lepa predstava
0079	CN	bed for visit	lettino da visita	gästsäng	Bett für Besuch	postelja za goste
0080	CNP	bedroom	stanza letto	sovrum	das Schlafzimmer	spalnica
0081	CNT	bed time	ora di andare a letto	läggdags	Bettzeit,die Schlafenszeit	čas za spanje
0082	CNM	beef	manzo	nötkött	das Rindfleisch	govedina
0083	CNM	beer	birra	öl	das Bier	pivo
0084	Copula	be	essere	vara	sein	biti
0085	CN	belly	pancia	mage	der Bauch	trebuh
0086	CN	belt	cintura	bälte	der Gürtel	pas
0087	Interj	best wishes	auguri	lyckönskningar	die besten Wünsche	vse najboljše
0088	AP	big	grande	stor	gross	velik
0089	CNM	bird food	cibo per uccelli	fågelmat	Vogelfutter	ptičja hrana
0090	CN	bird house	casetta per gli uccelli	fågelhus	das Vogelhaus	ptičja hiša
0091	VP	bite an apple	mordere le mele	bita i äpplet	beissen einen Apfel	ugrizniti v jabolko
0092	CNH	black cat	gatto nero	svart katt	schwarze Katze	črna mačka
0093	CN	blender	frullatore	mixer	der Mixer	mešalnik
0094	CNM	blood pressure	pressione sanguigna	blodtryck	der Blutdruck	krvni pritisk
0095	CNM	blood	sangue	blod	das Blut	kri
0096	VP	blow out a candle	spegnere una candela	blåsa ut ett ljus	schlag eine Kerze aus	upihniti svečo
0097	CNM	blueberry juice	succo di mirtilli	blåbärssaft	Blaubeersaft	borovničev sok
0098	AP	blue	blu	blå	blau	moder
0099	AP	boiled	cotto	kokt	gekocht	kuhan
0100	CN	book	libro	bok	das Buch	knjiga
0101	CNP	book store	libreria	bokhandel	die Buchhandlung	knjigarna
0102	CNM	boredom	noia	tristess	die Langeweile	dolgčas
0103	Det	both	entrambi	bägge	beide	oba
0104	CN	bottle	bottiglietta	flaska	Flasche	steklenice
0104	CN	straw	cannuccia	sugrör	Stroh	slama
0105	CNM	bottom ache	male al sedere	ont i stjärten	Bodenschmerzen	dno bolečine
0106	CN	bowl	bacinella	diskbalja	die Schüssel	skleda
0107	CN	bowl	ciotola	bunke	die Schale	posoda
0108	CN	bowl	scodella	skål	der Bowl	krogla
0109	CN	box	cassa	låda	die Box	škatla
0110	CN	box drink	bevanda in cartone	dryck i tetrapack	Box Getränk	zaboj pijače
0111	CN	box of chocolates	scatola di cioccolatini	chokladask	Schachtel Pralinen	škatla čokoladnih bonbonov
0112	CN	box of legumi	legumi in scatola	grönsakskonserv	Box von Leguminosen	škatla stročnice
0113	CNH	boy	bambino	pojke	der Junge	fant
0114	CNH	boy	ragazzo	pojke	der Bub	deček
0115	CN	bracelet	bracciale	armband	das Armband	zapestnica
0116	CN	brain	cervello	hjärna	das Gehirn	možgani
0117	CNM	bread	pane	bröd	das Brot	kruh
0118	CN	bread slice	fetta di pane	brödskiva	Brotscheibe	rezina kruha
0119	CN	breakfast	colazione	frukost	das Früstück	zajtrk
0120	NP	breakfast time	ora di colazione	frukostdags	Früstückszeit	čas za zajtrk
0121	CN	breast	seno	bröst	die Brust	dojka, prsi
0122	CNH	bricklayer	muratore	murare	der Maurer	zidar
0123	VP	bring back a book	restituire un libro	återlämna en bok	ein Buch zurück bringen	prinesti knjigo nazaj
